平成30年1月1日住民基本台帳人口・世帯数、平成29年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,（単位：人、世帯、％）
団体コード,都道府県名,市区町村名,平成30年,,,,平成29年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,,,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
,合計,,"62,298,889","65,408,370","127,707,259","58,007,536","5,310,968","589,213","5,900,181","964,690","84,301","6,949,172","5,323,642","305,526","5,629,168","1,347,710","172,121","7,148,999","-199,827",-0.16 ,"-383,020",-0.30 ,"183,193",0.14 
010006,北海道,,"2,522,526","2,817,013","5,339,539","2,772,845","247,097","14,455","261,552","34,340","2,238","298,130","253,563","9,509","263,072","62,718","3,608","329,398","-31,268",-0.58 ,"-28,378",-0.53 ,"-2,890",-0.05 
011002,北海道,札幌市,"913,077","1,039,271","1,952,348","1,048,469","121,453","4,901","126,354","13,971",684,"141,009","112,829","3,526","116,355","18,837",963,"136,155","4,854",0.25 ,"-4,866",-0.25 ,"9,720",0.50 
011011,北海道,札幌市中央区,"105,871","128,013","233,884","139,954","20,908","1,018","21,926","1,785",105,"23,816","19,250",595,"19,845","2,019",216,"22,080","1,736",0.75 ,-234,-0.10 ,"1,970",0.85 
011029,北海道,札幌市北区,"135,353","150,194","285,547","150,737","15,889","1,122","17,011","1,979",114,"19,104","14,583",889,"15,472","2,652",232,"18,356",748,0.26 ,-673,-0.24 ,"1,421",0.50 
011037,北海道,札幌市東区,"124,756","137,362","262,118","141,368","15,385",665,"16,050","2,157",134,"18,341","14,522",419,"14,941","2,425",138,"17,504",837,0.32 ,-268,-0.10 ,"1,105",0.42 
011045,北海道,札幌市白石区,"100,850","110,897","211,747","120,507","14,005",237,"14,242","1,737",72,"16,051","13,387",190,"13,577","2,073",85,"15,735",316,0.15 ,-336,-0.16 ,652,0.31 
011053,北海道,札幌市豊平区,"102,588","118,878","221,466","124,908","16,891",553,"17,444","1,753",65,"19,262","15,050",382,"15,432","2,039",81,"17,552","1,710",0.78 ,-286,-0.13 ,"1,996",0.91 
011061,北海道,札幌市南区,"64,503","74,204","138,707","72,488","7,643",311,"7,954",727,42,"8,723","7,824",226,"8,050","1,773",65,"9,888","-1,165",-0.83 ,"-1,046",-0.75 ,-119,-0.09 
