令和2年1月1日住民基本台帳人口・世帯数、令和元年（平成31年1月1日から令和元年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,（単位：人、世帯、％）
団体コード,都道府県名,市区町村名,令和2年,,,,令和元年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
,合計,,"62,036,028","65,102,005","127,138,033","59,071,519","5,392,557","685,537","6,078,094","884,767","71,709","7,034,570","5,409,499","362,923","5,772,422","1,386,212","181,466","7,340,100","-305,530",-0.24 ,"-501,445",-0.39 ,"195,915",0.15 
010006,北海道,,"2,488,629","2,779,133","5,267,762","2,790,286","242,721","18,253","260,974","31,174","2,006","294,154","249,395","12,100","261,495","65,494","3,816","330,805","-36,651",-0.69 ,"-34,320",-0.65 ,"-2,331",-0.04 
011002,北海道,札幌市,"915,342","1,043,971","1,959,313","1,068,992","120,498","5,673","126,171","12,810",530,"139,511","110,883","3,985","114,868","19,711","1,076","135,655","3,856",0.20 ,"-6,901",-0.35 ,"10,757",0.55 
011011,北海道,札幌市中央区,"107,871","130,327","238,198","144,196","21,398","1,171","22,569","1,570",71,"24,210","18,347",736,"19,083","2,170",208,"21,461","2,749",1.17 ,-600,-0.25 ,"3,349",1.42 
011029,北海道,札幌市北区,"135,736","150,450","286,186","153,109","15,527","1,263","16,790","1,762",85,"18,637","14,694",899,"15,593","2,740",230,"18,563",74,0.03 ,-978,-0.34 ,"1,052",0.37 
011037,北海道,札幌市東区,"124,541","137,381","261,922","143,130","15,123",642,"15,765","1,899",97,"17,761","14,476",405,"14,881","2,558",177,"17,616",145,0.06 ,-659,-0.25 ,804,0.31 
011045,北海道,札幌市白石区,"101,211","112,000","213,211","123,314","14,314",328,"14,642","1,717",49,"16,408","13,365",280,"13,645","2,130",93,"15,868",540,0.25 ,-413,-0.19 ,953,0.45 
011053,北海道,札幌市豊平区,"103,383","120,179","223,562","128,353","16,534",696,"17,230","1,657",57,"18,944","15,091",458,"15,549","2,190",147,"17,886","1,058",0.48 ,-533,-0.24 ,"1,591",0.72 
011061,北海道,札幌市南区,"63,351","73,207","136,558","72,643","7,273",458,"7,731",630,47,"8,408","7,267",248,"7,515","1,758",65,"9,338",-930,-0.68 ,"-1,128",-0.82 ,198,0.14 
