平成29年1月1日住民基本台帳人口・世帯数、平成28年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
団体コード,都道府県名,市区町村名,平成29年,,,,平成28年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,,,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
,合計,,"62,394,275","65,512,811","127,907,086","57,477,037","5,244,795","539,074","5,783,869","997,781","89,570","6,871,220","5,254,978","291,774","5,546,752","1,316,305","167,288","7,030,345","-159,125",-0.12 ,"-318,524",-0.25 ,"159,399",0.12 
010006,北海道,,"2,537,340","2,833,467","5,370,807","2,761,826","245,573","13,047","258,620","35,452","2,519","296,591","252,780","8,757","261,537","62,131","3,326","326,994","-30,403",-0.56 ,"-26,679",-0.49 ,"-3,724",-0.07 
011002,北海道,札幌市,"911,231","1,036,263","1,947,494","1,037,733","120,118","4,308","124,426","14,189","1,001","139,616","111,028","3,371","114,399","18,597",958,"133,954","5,662",0.29 ,"-4,408",-0.23 ,"10,070",0.52 
011011,北海道,札幌市中央区,"105,167","126,981","232,148","138,157","20,560",928,"21,488","1,769",218,"23,475","18,892",603,"19,495","2,005",209,"21,709","1,766",0.77 ,-236,-0.10 ,"2,002",0.87 
011029,北海道,札幌市北区,"134,978","149,821","284,799","149,384","16,034","1,052","17,086","1,880",185,"19,151","14,151",809,"14,960","2,568",216,"17,744","1,407",0.50 ,-688,-0.24 ,"2,095",0.74 
011037,北海道,札幌市東区,"124,165","137,116","261,281","140,160","15,708",578,"16,286","2,224",163,"18,673","14,246",411,"14,657","2,457",104,"17,218","1,455",0.56 ,-233,-0.09 ,"1,688",0.65 
011045,北海道,札幌市白石区,"100,860","110,571","211,431","119,225","14,401",201,"14,602","1,866",92,"16,560","13,328",180,"13,508","2,041",59,"15,608",952,0.45 ,-175,-0.08 ,"1,127",0.54 
011053,北海道,札幌市豊平区,"101,951","117,805","219,756","123,015","15,894",478,"16,372","1,857",115,"18,344","14,969",405,"15,374","2,084",201,"17,659",685,0.31 ,-227,-0.10 ,912,0.42 
011061,北海道,札幌市南区,"64,970","74,902","139,872","72,407","7,595",269,"7,864",726,53,"8,643","7,696",223,"7,919","1,614",47,"9,580",-937,-0.67 ,-888,-0.63 ,-49,-0.03 
011070,北海道,札幌市西区,"98,554","114,693","213,247","111,026","12,018",205,"12,223","1,590",69,"13,882","10,877",188,"11,065","2,055",41,"13,161",721,0.34 ,-465,-0.22 ,"1,186",0.56 
011088,北海道,札幌市厚別区,"59,046","69,152","128,198","63,929","6,285",248,"6,533",716,40,"7,289","6,675",225,"6,900","1,290",32,"8,222",-933,-0.72 ,-574,-0.44 ,-359,-0.28 
011096,北海道,札幌市手稲区,"66,799","74,706","141,505","67,856","6,391",195,"6,586",901,35,"7,522","5,585",169,"5,754","1,437",24,"7,215",307,0.22 ,-536,-0.38 ,843,0.60 
011100,北海道,札幌市清田区,"54,741","60,516","115,257","52,574","5,232",154,"5,386",660,31,"6,077","4,609",158,"4,767","1,046",25,"5,838",239,0.21 ,-386,-0.34 ,625,0.54 
012025,北海道,函館市,"120,900","144,603","265,503","143,561","8,863",374,"9,237","1,539",329,"11,105","10,104",267,"10,371","3,659",189,"14,219","-3,114",-1.16 ,"-2,120",-0.79 ,-994,-0.37 
012033,北海道,小樽市,"54,483","66,286","120,769","64,818","3,191",220,"3,411",515,40,"3,966","4,043",145,"4,188","1,880",56,"6,124","-2,158",-1.76 ,"-1,365",-1.11 ,-793,-0.65 
012041,北海道,旭川市,"159,334","183,514","342,848","177,609","10,357",523,"10,880","2,299",128,"13,307","11,334",280,"11,614","4,073",60,"15,747","-2,440",-0.71 ,"-1,774",-0.51 ,-666,-0.19 
012050,北海道,室蘭市,"41,775","45,405","87,180","46,600","3,048",131,"3,179",509,44,"3,732","3,830",90,"3,920","1,225",25,"5,170","-1,438",-1.62 ,-716,-0.81 ,-722,-0.81 
012068,北海道,釧路市,"82,158","92,360","174,518","94,793","5,923",223,"6,146","1,076",42,"7,264","6,852",197,"7,049","2,190",83,"9,322","-2,058",-1.17 ,"-1,114",-0.63 ,-944,-0.53 
012076,北海道,帯広市,"80,171","87,925","168,096","86,534","7,439",227,"7,666","1,314",83,"9,063","7,473",177,"7,650","1,768",88,"9,506",-443,-0.26 ,-454,-0.27 ,11,0.01 
012084,北海道,北見市,"57,040","62,938","119,978","61,524","4,120",122,"4,242",779,42,"5,063","4,590",88,"4,678","1,431",24,"6,133","-1,070",-0.88 ,-652,-0.54 ,-418,-0.35 
012092,北海道,夕張市,"4,052","4,633","8,685","5,009",203,79,282,29,0,311,394,97,491,190,1,682,-371,-4.10 ,-161,-1.78 ,-210,-2.32 
012106,北海道,岩見沢市,"39,266","44,676","83,942","41,978","2,784",47,"2,831",461,15,"3,307","3,071",45,"3,116","1,041",17,"4,174",-867,-1.02 ,-580,-0.68 ,-287,-0.34 
012114,北海道,網走市,"18,093","18,819","36,912","18,469","1,774",81,"1,855",246,35,"2,136","2,086",55,"2,141",422,13,"2,576",-440,-1.18 ,-176,-0.47 ,-264,-0.71 
012122,北海道,留萌市,"10,562","11,575","22,137","11,798","1,121",7,"1,128",138,5,"1,271","1,307",27,"1,334",302,1,"1,637",-366,-1.63 ,-164,-0.73 ,-202,-0.90 
012131,北海道,苫小牧市,"84,375","88,760","173,135","87,334","5,582",229,"5,811","1,359",53,"7,223","5,921",207,"6,128","1,672",82,"7,882",-659,-0.38 ,-313,-0.18 ,-346,-0.20 
012149,北海道,稚内市,"17,387","18,103","35,490","18,254","1,387",102,"1,489",240,29,"1,758","1,871",99,"1,970",478,4,"2,452",-694,-1.92 ,-238,-0.66 ,-456,-1.26 
012157,北海道,美唄市,"10,802","11,922","22,724","11,942",491,8,499,102,6,607,842,8,850,415,8,"1,273",-666,-2.85 ,-313,-1.34 ,-353,-1.51 
012165,北海道,芦別市,"6,633","7,879","14,512","7,927",317,18,335,54,0,389,523,11,534,317,0,851,-462,-3.09 ,-263,-1.76 ,-199,-1.33 
012173,北海道,江別市,"56,601","62,581","119,182","56,061","4,843",260,"5,103",650,26,"5,779","4,652",196,"4,848","1,229",37,"6,114",-335,-0.28 ,-579,-0.48 ,244,0.20 
012181,北海道,赤平市,"4,932","5,840","10,772","6,118",243,15,258,48,1,307,313,16,329,231,4,564,-257,-2.33 ,-183,-1.66 ,-74,-0.67 
012190,北海道,紋別市,"10,754","12,112","22,866","12,062",876,149,"1,025",135,10,"1,170","1,109",105,"1,214",355,12,"1,581",-411,-1.77 ,-220,-0.95 ,-191,-0.82 
012203,北海道,士別市,"9,289","10,410","19,699","9,538",517,18,535,111,1,647,844,19,863,297,4,"1,164",-517,-2.56 ,-186,-0.92 ,-331,-1.64 
012211,北海道,名寄市,"13,835","14,445","28,280","14,268","1,405",71,"1,476",208,11,"1,695","1,637",76,"1,713",332,3,"2,048",-353,-1.23 ,-124,-0.43 ,-229,-0.80 
012220,北海道,三笠市,"4,077","4,924","9,001","5,127",322,7,329,39,4,372,415,5,420,193,4,617,-245,-2.65 ,-154,-1.67 ,-91,-0.98 
012238,北海道,根室市,"12,894","14,124","27,018","12,810",764,187,951,167,13,"1,131","1,297",67,"1,364",364,14,"1,742",-611,-2.21 ,-197,-0.71 ,-414,-1.50 
012246,北海道,千歳市,"48,936","47,492","96,428","47,901","5,642",280,"5,922",897,59,"6,878","5,457",107,"5,564",744,65,"6,373",505,0.53 ,153,0.16 ,352,0.37 
012254,北海道,滝川市,"19,501","21,740","41,241","21,539","1,792",23,"1,815",270,12,"2,097","1,862",19,"1,881",535,0,"2,416",-319,-0.77 ,-265,-0.64 ,-54,-0.13 
012262,北海道,砂川市,"8,151","9,414","17,565","8,957",635,6,641,93,4,738,691,7,698,266,1,965,-227,-1.28 ,-173,-0.97 ,-54,-0.30 
012271,北海道,歌志内市,"1,632","1,892","3,524","2,015",76,3,79,9,1,89,147,0,147,82,0,229,-140,-3.82 ,-73,-1.99 ,-67,-1.83 
012289,北海道,深川市,"10,107","11,490","21,597","11,018",787,6,793,121,0,914,891,11,902,326,0,"1,228",-314,-1.43 ,-205,-0.94 ,-109,-0.50 
012297,北海道,富良野市,"10,691","11,907","22,598","10,994",883,114,997,143,13,"1,153","1,124",102,"1,226",299,5,"1,530",-377,-1.64 ,-156,-0.68 ,-221,-0.96 
012301,北海道,登別市,"23,564","25,876","49,440","24,940","1,918",50,"1,968",329,13,"2,310","2,245",28,"2,273",682,16,"2,971",-661,-1.32 ,-353,-0.70 ,-308,-0.61 
012319,北海道,恵庭市,"33,624","35,603","69,227","32,304","3,279",113,"3,392",462,28,"3,882","2,982",90,"3,072",630,26,"3,728",154,0.22 ,-168,-0.24 ,322,0.47 
012335,北海道,伊達市,"16,356","18,742","35,098","17,868","1,210",52,"1,262",198,15,"1,475","1,364",64,"1,428",499,1,"1,928",-453,-1.27 ,-301,-0.85 ,-152,-0.43 
012343,北海道,北広島市,"28,479","30,654","59,133","27,095","2,393",52,"2,445",330,4,"2,779","2,366",36,"2,402",570,22,"2,994",-215,-0.36 ,-240,-0.40 ,25,0.04 
012351,北海道,石狩市,"28,462","30,488","58,950","27,370","1,880",122,"2,002",306,13,"2,321","1,872",97,"1,969",597,7,"2,573",-252,-0.43 ,-291,-0.49 ,39,0.07 
012360,北海道,北斗市,"22,174","25,007","47,181","22,032","1,656",61,"1,717",305,25,"2,047","1,847",41,"1,888",558,23,"2,469",-422,-0.89 ,-253,-0.53 ,-169,-0.36 
013030,北海道,石狩郡当別町,"8,051","8,551","16,602","7,601",592,28,620,52,0,672,786,18,804,196,2,"1,002",-330,-1.95 ,-144,-0.85 ,-186,-1.10 
013048,北海道,石狩郡新篠津村,"1,540","1,680","3,220","1,406",78,0,78,24,0,102,119,1,120,49,0,169,-67,-2.04 ,-25,-0.76 ,-42,-1.28 
013315,北海道,松前郡松前町,"3,677","4,116","7,793","4,206",235,8,243,27,1,271,348,10,358,153,2,513,-242,-3.01 ,-126,-1.57 ,-116,-1.44 
013323,北海道,松前郡福島町,"2,021","2,326","4,347","2,186",94,6,100,15,0,115,173,13,186,108,0,294,-179,-3.95 ,-93,-2.05 ,-86,-1.90 
013331,北海道,上磯郡知内町,"2,211","2,372","4,583","2,082",137,2,139,20,3,162,197,2,199,62,1,262,-100,-2.14 ,-42,-0.90 ,-58,-1.24 
013340,北海道,上磯郡木古内町,"2,050","2,381","4,431","2,304",155,7,162,12,0,174,187,9,196,91,0,287,-113,-2.49 ,-79,-1.74 ,-34,-0.75 
013374,北海道,亀田郡七飯町,"13,234","15,340","28,574","13,579","1,184",29,"1,213",170,19,"1,402","1,027",20,"1,047",357,4,"1,408",-6,-0.02 ,-187,-0.65 ,181,0.63 
013439,北海道,茅部郡鹿部町,"1,945","2,137","4,082","1,853",132,19,151,20,0,171,141,2,143,61,20,224,-53,-1.28 ,-41,-0.99 ,-12,-0.29 
013455,北海道,茅部郡森町,"7,601","8,654","16,255","7,706",411,86,497,85,9,591,561,77,638,268,22,928,-337,-2.03 ,-183,-1.10 ,-154,-0.93 
013463,北海道,二海郡八雲町,"8,388","8,889","17,277","8,588",743,80,823,94,7,924,869,30,899,254,7,"1,160",-236,-1.35 ,-160,-0.91 ,-76,-0.43 
013471,北海道,山越郡長万部町,"2,632","2,993","5,625","3,074",416,34,450,28,3,481,621,11,632,106,31,769,-288,-4.87 ,-78,-1.32 ,-210,-3.55 
013617,北海道,檜山郡江差町,"3,862","4,222","8,084","4,385",485,5,490,60,6,556,566,3,569,137,1,707,-151,-1.83 ,-77,-0.94 ,-74,-0.90 
013625,北海道,檜山郡上ノ国町,"2,397","2,734","5,131","2,550",119,1,120,17,0,137,204,6,210,93,0,303,-166,-3.13 ,-76,-1.43 ,-90,-1.70 
013633,北海道,檜山郡厚沢部町,"1,968","2,143","4,111","2,002",115,52,167,20,0,187,185,0,185,65,1,251,-64,-1.53 ,-45,-1.08 ,-19,-0.46 
013641,北海道,爾志郡乙部町,"1,806","2,113","3,919","1,933",94,3,97,13,1,111,108,1,109,59,0,168,-57,-1.43 ,-46,-1.16 ,-11,-0.28 
013676,北海道,奥尻郡奥尻町,"1,456","1,339","2,795","1,573",166,0,166,16,2,184,203,0,203,46,1,250,-66,-2.31 ,-30,-1.05 ,-36,-1.26 
013706,北海道,瀬棚郡今金町,"2,635","2,909","5,544","2,606",192,1,193,34,3,230,233,1,234,78,0,312,-82,-1.46 ,-44,-0.78 ,-38,-0.68 
013714,北海道,久遠郡せたな町,"3,980","4,473","8,453","4,353",229,4,233,30,0,263,285,6,291,154,2,447,-184,-2.13 ,-124,-1.44 ,-60,-0.69 
013919,北海道,島牧郡島牧村,759,785,"1,544",843,48,0,48,10,0,58,57,0,57,29,1,87,-29,-1.84 ,-19,-1.21 ,-10,-0.64 
013927,北海道,寿都郡寿都町,"1,520","1,574","3,094","1,728",136,18,154,16,0,170,177,17,194,58,0,252,-82,-2.58 ,-42,-1.32 ,-40,-1.26 
013935,北海道,寿都郡黒松内町,"1,396","1,581","2,977","1,543",156,0,156,21,7,184,168,0,168,57,5,230,-46,-1.52 ,-36,-1.19 ,-10,-0.33 
013943,北海道,磯谷郡蘭越町,"2,362","2,527","4,889","2,359",178,12,190,29,2,221,205,6,211,69,1,281,-60,-1.21 ,-40,-0.81 ,-20,-0.40 
013951,北海道,虻田郡ニセコ町,"2,602","2,540","5,142","2,630",345,284,629,38,7,674,333,167,500,47,41,588,86,1.70 ,-9,-0.18 ,95,1.88 
013960,北海道,虻田郡真狩村,"1,027","1,068","2,095",941,120,9,129,17,0,146,118,3,121,25,2,148,-2,-0.10 ,-8,-0.38 ,6,0.29 
013978,北海道,虻田郡留寿都村,990,984,"1,974",996,158,192,350,23,5,378,198,104,302,17,40,359,19,0.97 ,6,0.31 ,13,0.66 
013986,北海道,虻田郡喜茂別町,"1,159","1,097","2,256","1,272",119,25,144,10,0,154,138,14,152,41,19,212,-58,-2.51 ,-31,-1.34 ,-27,-1.17 
013994,北海道,虻田郡京極町,"1,513","1,606","3,119","1,500",113,0,113,16,1,130,122,0,122,50,0,172,-42,-1.33 ,-34,-1.08 ,-8,-0.25 
014001,北海道,虻田郡倶知安町,"8,363","8,106","16,469","8,997","1,104","1,419","2,523",125,20,"2,668","1,210",307,"1,517",144,598,"2,259",409,2.55 ,-19,-0.12 ,428,2.67 
014010,北海道,岩内郡共和町,"3,082","3,039","6,121","2,895",232,2,234,46,3,283,290,2,292,83,0,375,-92,-1.48 ,-37,-0.60 ,-55,-0.89 
014028,北海道,岩内郡岩内町,"6,210","6,970","13,180","6,990",460,2,462,80,2,544,576,7,583,209,0,792,-248,-1.85 ,-129,-0.96 ,-119,-0.89 
014036,北海道,古宇郡泊村,815,924,"1,739",934,77,0,77,13,1,91,61,0,61,37,2,100,-9,-0.51 ,-24,-1.37 ,15,0.86 
014044,北海道,古宇郡神恵内村,429,472,901,485,37,0,37,3,0,40,38,0,38,22,2,62,-22,-2.38 ,-19,-2.06 ,-3,-0.33 
014052,北海道,積丹郡積丹町,"1,027","1,167","2,194","1,144",47,1,48,11,0,59,90,0,90,36,0,126,-67,-2.96 ,-25,-1.11 ,-42,-1.86 
014061,北海道,古平郡古平町,"1,522","1,726","3,248","1,835",76,21,97,15,0,112,131,6,137,71,0,208,-96,-2.87 ,-56,-1.67 ,-40,-1.20 
014079,北海道,余市郡仁木町,"1,636","1,756","3,392","1,734",142,132,274,13,0,287,131,143,274,69,2,345,-58,-1.68 ,-56,-1.62 ,-2,-0.06 
014087,北海道,余市郡余市町,"9,077","10,540","19,617","10,060",707,24,731,127,5,863,726,67,793,323,9,"1,125",-262,-1.32 ,-196,-0.99 ,-66,-0.33 
014095,北海道,余市郡赤井川村,600,628,"1,228",670,86,116,202,12,5,219,86,5,91,17,33,141,78,6.78 ,-5,-0.43 ,83,7.22 
014231,北海道,空知郡南幌町,"3,697","4,088","7,785","3,425",221,19,240,34,3,277,332,18,350,97,5,452,-175,-2.20 ,-63,-0.79 ,-112,-1.41 
014249,北海道,空知郡奈井江町,"2,662","2,986","5,648","2,869",138,6,144,25,1,170,154,6,160,114,3,277,-107,-1.86 ,-89,-1.55 ,-18,-0.31 
014257,北海道,空知郡上砂川町,"1,469","1,778","3,247","1,891",71,0,71,6,3,80,118,1,119,67,3,189,-109,-3.25 ,-61,-1.82 ,-48,-1.43 
014273,北海道,夕張郡由仁町,"2,552","2,816","5,368","2,447",137,4,141,19,0,160,205,1,206,117,0,323,-163,-2.95 ,-98,-1.77 ,-65,-1.18 
014281,北海道,夕張郡長沼町,"5,426","5,785","11,211","5,022",358,8,366,60,5,431,419,1,420,145,0,565,-134,-1.18 ,-85,-0.75 ,-49,-0.43 
014290,北海道,夕張郡栗山町,"5,744","6,585","12,329","5,957",433,7,440,60,8,508,457,18,475,185,0,660,-152,-1.22 ,-125,-1.00 ,-27,-0.22 
014303,北海道,樺戸郡月形町,"1,740","1,679","3,419","1,734",135,1,136,14,11,161,182,1,183,52,0,235,-74,-2.12 ,-38,-1.09 ,-36,-1.03 
014311,北海道,樺戸郡浦臼町,944,"1,014","1,958",899,42,2,44,9,0,53,94,1,95,37,0,132,-79,-3.88 ,-28,-1.37 ,-51,-2.50 
014320,北海道,樺戸郡新十津川町,"3,145","3,644","6,789","2,970",188,6,194,28,2,224,203,6,209,91,0,300,-76,-1.11 ,-63,-0.92 ,-13,-0.19 
014338,北海道,雨竜郡妹背牛町,"1,474","1,636","3,110","1,424",56,7,63,11,1,75,94,2,96,59,0,155,-80,-2.51 ,-48,-1.50 ,-32,-1.00 
014346,北海道,雨竜郡秩父別町,"1,152","1,281","2,433","1,097",55,2,57,10,0,67,126,0,126,45,0,171,-104,-4.10 ,-35,-1.38 ,-69,-2.72 
