平成31年1月1日住民基本台帳人口・世帯数、平成30年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,（単位：人、世帯、％）
団体コード,都道府県名,市区町村名,平成31年,,,,平成30年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
,合計,,"62,174,142","65,269,421","127,443,563","58,527,117","5,349,543","625,696","5,975,239","937,542","76,840","6,989,621","5,365,046","332,109","5,697,155","1,370,751","185,411","7,253,317","-263,696",-0.21 ,"-433,209",-0.34 ,"169,513",0.13 
010006,北海道,,"2,505,804","2,798,609","5,304,413","2,781,336","243,328","16,009","259,337","32,891","1,989","294,217","250,540","10,749","261,289","64,302","3,752","329,343","-35,126",-0.66 ,"-31,411",-0.59 ,"-3,715",-0.07 
011002,北海道,札幌市,"913,799","1,041,658","1,955,457","1,058,431","119,700","5,074","124,774","13,403",555,"138,732","111,642","3,645","115,287","19,368",968,"135,623","3,109",0.16 ,"-5,965",-0.31 ,"9,074",0.46 
011011,北海道,札幌市中央区,"106,500","128,949","235,449","141,734","20,412","1,018","21,430","1,773",91,"23,294","18,708",616,"19,324","2,175",230,"21,729","1,565",0.67 ,-402,-0.17 ,"1,967",0.84 
011029,北海道,札幌市北区,"135,706","150,406","286,112","151,891","15,746","1,179","16,925","1,894",91,"18,910","14,400",867,"15,267","2,857",221,"18,345",565,0.20 ,-963,-0.34 ,"1,528",0.54 
011037,北海道,札幌市東区,"124,445","137,332","261,777","142,078","15,025",662,"15,687","2,003",90,"17,780","15,053",398,"15,451","2,514",156,"18,121",-341,-0.13 ,-511,-0.19 ,170,0.06 
011045,北海道,札幌市白石区,"101,125","111,546","212,671","122,062","14,430",331,"14,761","1,718",61,"16,540","13,302",201,"13,503","2,017",96,"15,616",924,0.44 ,-299,-0.14 ,"1,223",0.58 
011053,北海道,札幌市豊平区,"103,048","119,456","222,504","126,579","16,587",495,"17,082","1,696",63,"18,841","15,267",410,"15,677","2,053",73,"17,803","1,038",0.47 ,-357,-0.16 ,"1,395",0.63 
011061,北海道,札幌市南区,"63,813","73,675","137,488","72,502","7,419",321,"7,740",639,34,"8,413","7,624",238,"7,862","1,710",60,"9,632","-1,219",-0.88 ,"-1,071",-0.77 ,-148,-0.11 
